trial,value,state,model.beta,model.threshold,trainer.delta,trainer.g_scale,trainer.lr,trainer.surrogate_scale
0,0.318,COMPLETE,0.829643541684063,0.6559945203362026,0.6387926357773329,1.9063571821788408,0.00031489116479568613,14.907884894416696
1,0.278,COMPLETE,0.8039110539162025,1.4699098521619942,0.737265320016441,1.745734676972377,1.7073967431528103e-05,12.421185223120967
2,0.31,COMPLETE,0.8578060261623122,1.024756431632238,0.2650640588680905,0.5034443102887247,0.021368329072358756,4.4546743769349115
3,0.311,COMPLETE,0.8555074832216915,0.8663618432936917,0.22554447458683766,0.6533353663762795,0.0005342937261279777,12.62520499972521
4,0.394,COMPLETE,0.9125587680837881,0.5464504127199977,0.5628109945722505,1.5918343266467259,0.0006672367170464204,4.793801861008835
5,0.271,COMPLETE,0.9834700862841663,1.3083973481164612,0.9539969835279999,0.4239958350058539,0.0026926469100861782,2.235980266720311
6,0.156,COMPLETE,0.8231872646205081,0.9951769101112702,0.4961372443656412,0.2855770166121293,0.00016536937182824412,14.00042750373098
7,0.323,COMPLETE,0.8592251044569881,1.0200680211778108,0.6962700559185838,1.8277087639496858,1.3726318898045866e-05,5.916819650400321
8,0.309,COMPLETE,0.978504798897196,1.394827350427649,0.7976195410250031,0.45122346549850134,0.0015375920235481753,19.422107927526614
9,0.335,COMPLETE,0.8085931848930022,0.8253303307632643,0.27638457617723067,1.851561046543922,0.002463768595899745,2.6813575389864703
