trial,value,state,model.beta,model.threshold,trainer.gamma,trainer.lr
0,0.107,COMPLETE,0.9390788489441669,1.0986584841970366,0.4802857225639665,0.00031489116479568613
1,0.213,COMPLETE,0.8110358863119579,1.366176145774935,0.16239780813448107,4.207988669606632e-05
2,0.098,COMPLETE,0.8039110539162025,1.4699098521619942,0.3832290311184182,0.002537815508265664
3,0.1,COMPLETE,0.8345467437693491,0.6834045098534338,0.18493564427131048,0.021368329072358756
4,0.153,COMPLETE,0.882069553542002,0.7912291401980419,0.3099025726528951,0.00016480446427978953
5,0.097,COMPLETE,0.8555074832216915,0.8663618432936917,0.15579754426081674,0.0028016351587162596
6,0.105,COMPLETE,0.8379380186100884,1.0142344384136117,0.41407038455720546,0.0006672367170464204
7,0.103,COMPLETE,0.9154335218612732,0.6705241236872915,0.1185801650879991,0.00234238498471129
8,0.253,COMPLETE,0.9834700862841663,1.3083973481164612,0.4795542149013333,1.8205657658407255e-05
9,0.1,COMPLETE,0.9300042750373099,0.9401524937396013,0.13906884560255356,0.00016536937182824412
