trial,value,state,dataset.seed,model.beta,model.threshold,trainer.gamma,trainer.lr
0,0.9445,COMPLETE,157,0.9390788489441669,1.0986584841970366,0.4802857225639665,0.00031489116479568613
1,0.9751,COMPLETE,709,0.9645734676972377,1.1011150117432087,0.12323344486727979,4.207053950287933e-05
2,0.9723,COMPLETE,182,0.9581641017520801,0.7123391106782762,0.4879639408647978,1.2087541473056957e-05
3,0.9783,COMPLETE,292,0.8997037220101252,0.9319450186421158,0.2216968971838151,5.415244119402538e-05
4,0.888,COMPLETE,457,0.8555074832216915,0.8663618432936917,0.15579754426081674,0.0028016351587162596
5,0.7373,COMPLETE,47,0.8977045432985862,1.0924145688620426,0.1798695128633439,0.013826232179369865
6,0.8323,COMPLETE,966,0.8123598026672032,1.4488855372533331,0.16820964947491662,0.0026926469100861782
7,0.7083,COMPLETE,441,0.818557701661213,1.1842330265121568,0.2218455076693483,0.01712337597316398
8,0.9633,COMPLETE,259,0.8065338190118916,1.409320402078782,0.29807076404450805,3.077180271250682e-05
9,0.8402,COMPLETE,185,0.8988129240237841,1.0467102793432796,0.2246844304357644,0.004467752817973905
