trial,value,state,model.beta,model.threshold,trainer.gamma,trainer.lr
0,0.9077,COMPLETE,0.9390788489441669,1.0986584841970366,0.4802857225639665,0.00031489116479568613
1,0.9598,COMPLETE,0.8110358863119579,1.366176145774935,0.16239780813448107,4.207988669606632e-05
2,0.7887,COMPLETE,0.8039110539162025,1.4699098521619942,0.3832290311184182,0.002537815508265664
3,0.6783,COMPLETE,0.8345467437693491,0.6834045098534338,0.18493564427131048,0.021368329072358756
4,0.9119,COMPLETE,0.882069553542002,0.7912291401980419,0.3099025726528951,0.00016480446427978953
5,0.589,PRUNED,0.8555074832216915,0.8663618432936917,0.15579754426081674,0.0028016351587162596
6,0.7061,PRUNED,0.8379380186100884,1.0142344384136117,0.41407038455720546,0.0006672367170464204
7,0.7164,PRUNED,0.9154335218612732,0.6705241236872915,0.1185801650879991,0.00234238498471129
8,0.9571,COMPLETE,0.9834700862841663,1.3083973481164612,0.4795542149013333,1.8205657658407255e-05
9,0.9257,COMPLETE,0.9300042750373099,0.9401524937396013,0.13906884560255356,0.00016536937182824412
10,0.7876,PRUNED,0.8014339906700957,1.219724762374733,0.24549106944865245,1.220681178134507e-05
11,0.8315,PRUNED,0.9857668601263821,1.4218705835356402,0.27523237098473197,1.1520489947554329e-05
12,0.9445,COMPLETE,0.9885567821699285,1.2778053222607344,0.49831794210215064,4.80799333197776e-05
13,0.9483,COMPLETE,0.9592337356425465,1.3036088042082923,0.3341306841178451,5.8832827019150586e-05
14,0.949,COMPLETE,0.8891392808711271,1.145856440703241,0.21185570958172345,4.36732379598374e-05
