trial,value,state,model.beta,model.threshold,trainer.etrace_decay,trainer.gamma,trainer.lr
0,0.1601,COMPLETE,0.9137451119974369,0.6560186404424365,0.9658500101408589,0.685595153449124,0.00031489116479568613
1,0.1713,COMPLETE,0.9142118522312097,1.2080725777960455,0.5284609699624178,0.7929409166199481,4.207053950287933e-05
2,0.101,COMPLETE,0.8403444310288725,0.6818249672071006,0.9752558275593772,0.7659541126403374,1.2087541473056957e-05
3,0.2206,COMPLETE,0.882069553542002,0.7912291401980419,0.6490786990501735,0.5198051453057903,5.415244119402538e-05
4,0.1041,COMPLETE,0.8696087502258014,0.9560699842170359,0.5683519917195005,0.3337157188281745,0.0028016351587162596
5,0.109,PRUNED,0.9125587680837881,0.5464504127199977,0.5978401532575963,0.5113875507308893,0.013826232179369865
6,0.1109,COMPLETE,0.9802882520781333,1.4656320330745594,0.5835568206067728,0.15204127438822362,0.0026926469100861782
7,0.1006,PRUNED,0.9300042750373099,0.9401524937396013,0.6492607468949516,0.1781376912051071,0.01712337597316398
8,0.1021,PRUNED,0.9727708763949686,0.7587799816000169,0.7426366859545224,0.12751081689217472,3.077180271250682e-05
9,0.1011,COMPLETE,0.9038749530752231,0.684854455525527,0.6527384272838114,0.5160544169422486,0.004467752817973905
10,0.1001,PRUNED,0.8034127563668158,1.157123669072641,0.8429387548615827,0.3608684776767743,0.00028782032887951015
11,0.1,PRUNED,0.8636110834824149,1.2165180179514743,0.5047126196829187,0.8816690377804298,7.771963065622476e-05
12,0.1,PRUNED,0.9399831343163342,1.1886141557082046,0.502708506369137,0.664440796070386,0.00012777236541434674
13,0.1,PRUNED,0.8762186563756161,1.3939123052534552,0.7349353342686819,0.8952322989040828,1.2250111817399733e-05
14,0.1242,COMPLETE,0.9500006426006983,0.8476334304965827,0.6693899351716506,0.5872590907469957,0.0006563918868609916
15,0.1001,PRUNED,0.8359670824281624,1.0875504033393628,0.8236920181340179,0.374239430613053,0.07290852325098911
16,0.1,PRUNED,0.8876104521570575,1.3095789183531144,0.5527143938998922,0.780784096825938,5.847059898060829e-05
17,0.1,PRUNED,0.8417526535645894,1.0549370243182112,0.691067232964597,0.27091014845513406,3.0016097640512414e-05
18,0.1031,PRUNED,0.8899534011899434,0.8517164449714721,0.8167478040491153,0.43216529309064,0.00021744245799734497
19,0.1001,PRUNED,0.925878248711884,0.5259412930857754,0.6160112994747353,0.5783818830169516,0.0007615412481982597
