trial,value,state,model.beta,model.threshold,trainer.etrace_decay,trainer.gamma,trainer.lr
0,0.6856060606060606,COMPLETE,0.9137451119974369,0.6560186404424365,0.9658500101408589,0.685595153449124,0.00031489116479568613
1,0.10984848484848485,PRUNED,0.9142118522312097,1.2080725777960455,0.5284609699624178,0.7929409166199481,4.207053950287933e-05
2,0.38636363636363635,COMPLETE,0.8403444310288725,0.6818249672071006,0.9752558275593772,0.7659541126403374,1.2087541473056957e-05
3,0.4583333333333333,COMPLETE,0.882069553542002,0.7912291401980419,0.6490786990501735,0.5198051453057903,5.415244119402538e-05
4,0.6666666666666666,COMPLETE,0.8696087502258014,0.9560699842170359,0.5683519917195005,0.3337157188281745,0.0028016351587162596
5,0.2765151515151515,COMPLETE,0.9125587680837881,0.5464504127199977,0.5978401532575963,0.5113875507308893,0.013826232179369865
6,0.6477272727272727,COMPLETE,0.9802882520781333,1.4656320330745594,0.5835568206067728,0.15204127438822362,0.0026926469100861782
7,0.4128787878787879,COMPLETE,0.9300042750373099,0.9401524937396013,0.6492607468949516,0.1781376912051071,0.01712337597316398
8,0.48484848484848486,COMPLETE,0.9727708763949686,0.7587799816000169,0.7426366859545224,0.12751081689217472,3.077180271250682e-05
9,0.5795454545454546,COMPLETE,0.9038749530752231,0.684854455525527,0.6527384272838114,0.5160544169422486,0.004467752817973905
10,0.6931818181818182,COMPLETE,0.8034127563668158,0.5153677373281043,0.957102379973159,0.6568942426866567,0.00031470708498898336
11,0.6893939393939394,COMPLETE,0.8162611629975179,0.5037369778131835,0.9818785236651771,0.670035205521561,0.00031226897004413365
12,0.6704545454545454,COMPLETE,0.8064108218289199,0.5164359516219927,0.8801020019314798,0.640612171203472,0.0003153489956509138
13,0.4393939393939394,COMPLETE,0.8008199508600264,1.1458564407032412,0.838046307441349,0.8973711952893406,0.0004464862079249607
14,0.5984848484848485,COMPLETE,0.838571374073341,0.5145057164590298,0.8875095411284265,0.6350591181112236,0.00010611604123801005
15,0.30303030303030304,COMPLETE,0.8325287407107456,0.8222189240170943,0.7864029644390766,0.374239430613053,0.07290852325098897
16,0.5757575757575758,COMPLETE,0.8571564247448927,1.1667286144615545,0.9250351743185443,0.39651119751463476,0.0009526778829797461
17,0.09090909090909091,PRUNED,0.8185962162808997,1.4960169893612134,0.9834603230263234,0.7448436255432317,0.00017383967781778355
18,0.7083333333333334,COMPLETE,0.9500934808209532,0.6093335612000284,0.8073326997350703,0.8589033352090827,0.0008214160928922293
19,0.6628787878787878,COMPLETE,0.9529404037189285,0.6254563102370512,0.7839873642383717,0.8754158816389743,0.0015176856763247735
