trial,value,state,model.beta,model.threshold,trainer.etrace_decay,trainer.gamma,trainer.lr
0,0.8186,COMPLETE,0.9137451119974369,0.6560186404424365,0.9658500101408589,0.685595153449124,0.00031489116479568613
1,0.7618,COMPLETE,0.9142118522312097,1.2080725777960455,0.5284609699624178,0.7929409166199481,4.207053950287933e-05
2,0.6868,COMPLETE,0.8403444310288725,0.6818249672071006,0.9752558275593772,0.7659541126403374,1.2087541473056957e-05
3,0.8269,COMPLETE,0.882069553542002,0.7912291401980419,0.6490786990501735,0.5198051453057903,5.415244119402538e-05
4,0.7305,COMPLETE,0.8696087502258014,0.9560699842170359,0.5683519917195005,0.3337157188281745,0.0028016351587162596
5,0.459,PRUNED,0.9125587680837881,0.5464504127199977,0.5978401532575963,0.5113875507308893,0.013826232179369865
6,0.5522,COMPLETE,0.9802882520781333,1.4656320330745594,0.5835568206067728,0.15204127438822362,0.0026926469100861782
7,0.6986,PRUNED,0.9300042750373099,0.9401524937396013,0.6492607468949516,0.1781376912051071,0.01712337597316398
8,0.2042,PRUNED,0.9727708763949686,0.7587799816000169,0.7426366859545224,0.12751081689217472,3.077180271250682e-05
9,0.6197,COMPLETE,0.9038749530752231,0.684854455525527,0.6527384272838114,0.5160544169422486,0.004467752817973905
10,0.4331,PRUNED,0.8034127563668158,1.157123669072641,0.8429387548615827,0.3608684776767743,0.00028782032887951015
11,0.7093,PRUNED,0.8636110834824149,0.5119457104119045,0.9768117691800832,0.670035205521561,0.00023739423955292563
12,0.6739,PRUNED,0.939636206923175,0.8425159937377567,0.8416063901866463,0.6431720311756254,0.00024225541370303776
13,0.2727,PRUNED,0.8762186563756161,1.0942725078391389,0.7371559328318039,0.8912689084534093,9.12570304606093e-05
14,0.7497,COMPLETE,0.9500006426006983,0.8029437175131524,0.8756312455634564,0.5872590907469957,0.0006552599984734048
15,0.2844,PRUNED,0.8359670824281624,0.6056567451889947,0.6846911864644329,0.3933433427632092,0.07290852325098911
16,0.1138,PRUNED,0.8879361983608578,0.8861815184508588,0.8855504876890006,0.7191349550692681,1.0337853813605434e-05
17,0.4303,PRUNED,0.8417526535645894,0.6959289885518454,0.7675646015092431,0.43561293298627435,8.084270741209316e-05
18,0.8108,PRUNED,0.8895538527100856,1.045372082963215,0.9171526039984086,0.5907337362221681,0.0007780660891941951
19,0.2943,PRUNED,0.925878248711884,1.3145901286801431,0.7889032659044221,0.8754158816389743,0.00011188656178089458
